rule,confidence
"IF ('咽喉不适', '咽喉炎') THEN 上呼吸道感染",1.1428571428571428
"IF ('咽喉炎', '病毒感染') THEN 上呼吸道感染",1.2
"IF ('普通感冒', '病毒感染', '鼻塞', '鼻流涕') THEN 上呼吸道感染",1.0
"IF ('普通感冒', '病毒感染', '鼻塞') THEN 上呼吸道感染",1.0
"IF ('发热', '病毒感染', '高热') THEN 上呼吸道感染",1.0
"IF ('发热', '普通感冒', '病毒感染', '鼻流涕') THEN 上呼吸道感染",1.0
"IF ('发热', '普通感冒', '病毒感染') THEN 上呼吸道感染",1.0
"IF ('咽喉炎', '哭闹') THEN 上呼吸道感染",1.4
"IF ('发热', '咽喉炎', '高热') THEN 上呼吸道感染",1.6
"IF ('发热', '咽喉炎', '鼻流涕') THEN 上呼吸道感染",1.0
"IF ('伴中度发热', '咽喉炎', '普通感冒') THEN 上呼吸道感染",1.0
"IF ('伴中度发热', '发热', '咽喉炎') THEN 上呼吸道感染",1.0
"IF ('发热', '咽喉炎') THEN 上呼吸道感染",0.9375
"IF ('伴中度发热', '发热', '间歇发热', '鼻流涕') THEN 上呼吸道感染",1.0
"IF ('呕吐', '喷嚏') THEN 上呼吸道感染",1.0
"IF ('喷嚏', '普通感冒', '鼻塞') THEN 上呼吸道感染",1.0
"IF ('低热', '发热', '哭闹') THEN 上呼吸道感染",1.0
"IF ('伴中度发热', '发热', '哭闹') THEN 上呼吸道感染",1.1428571428571428
