rule,confidence
"IF ('C0027424', 'C0037384') THEN C0035455",1.0
"IF ('C0019825', 'C0027424') THEN C0035455",1.0
"IF ('C0014591', 'C0037383') THEN C0035455",1.0
"IF ('C0014591', 'C0027424', 'C0037383') THEN C0035455",1.0
"IF ('C0242429', 'C1260880', 'C2087577') THEN C0035455",1.0
"IF ('C0027424', 'C0242429', 'C2087577') THEN C0035455",1.0
"IF ('C0018681', 'C0037383') THEN C0035455",1.0
"IF ('C0018681', 'C0037383', 'C1260880') THEN C0035455",1.0
"IF ('C0022281', 'C0027424', 'C0037383') THEN C0035455",1.0
"IF ('C0022281', 'C1260880') THEN C0035455",1.0
"IF ('C0022281', 'C0037383', 'C1260880') THEN C0035455",1.0
