rule,confidence
"IF ('咳嗽', '气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '有痰', '气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支原体感染') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支原体感染', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '喘息', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '喘息') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '喘息') THEN 小儿支气管炎",0.9090909090909091
"IF ('发热', '咳嗽', '肺炎', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '肺炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '咳痰', '急性气管－支气管炎', '肺部可闻湿啰音、痰鸣音') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '咳痰', '急性气管－支气管炎', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '急性气管－支气管炎', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '急性气管－支气管炎') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '咳痰', '急性气管－支气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '咳痰', '急性气管－支气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '急性气管－支气管炎') THEN 小儿支气管炎",0.9166666666666666
"IF ('呕吐', '咳嗽', '咳痰') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '咳痰', '肺部可闻湿啰音、痰鸣音') THEN 小儿支气管炎",0.9
"IF ('发热', '咳嗽', '咳痰') THEN 小儿支气管炎",0.9090909090909091
"IF ('体温下降', '发热', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('体温下降', '发热', '有痰') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '体温下降', '发热', '咳嗽') THEN 小儿支气管炎",1.0
"IF ('低热', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('低热', '发热', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('呕吐', '咳嗽', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('呕吐', '咳嗽', '支气管炎', '普通感冒', '有痰') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '有痰', '肺部可闻湿啰音、痰鸣音', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '肺部可闻湿啰音、痰鸣音') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '有痰', '肺部可闻湿啰音、痰鸣音') THEN 小儿支气管炎",1.0
"IF ('支气管炎', '有痰', '肺部可闻湿啰音、痰鸣音') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '咳嗽', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '发热', '咳嗽', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '发热', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '咳嗽', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('伴中度发热', '发热', '咳嗽', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '普通感冒', '有痰') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '普通感冒', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '普通感冒') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '支气管炎', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('发热', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('发热', '咳嗽', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '有痰', '鼻流涕') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎', '有痰') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '支气管炎') THEN 小儿支气管炎",1.0
"IF ('咳嗽', '哭闹', '普通感冒', '有痰') THEN 小儿支气管炎",1.0
