rule,confidence
"IF ('稀便', '肠炎') THEN 小儿腹泻",1.0
"IF ('稀便', '肠炎', '腹泻') THEN 小儿腹泻",1.0
"IF ('水样便', '血便') THEN 小儿腹泻",1.0
"IF ('水样便', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('水样便', '稀便', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('腹泻', '血便') THEN 小儿腹泻",0.9333333333333333
"IF ('低热', '发热', '水样便', '腹泻') THEN 小儿腹泻",1.0
"IF ('发热', '呕吐', '水样便', '稀便', '腹泻') THEN 小儿腹泻",1.0
"IF ('呕吐', '水样便', '稀便', '腹泻') THEN 小儿腹泻",1.0
"IF ('发热', '水样便', '稀便', '腹泻') THEN 小儿腹泻",0.9230769230769231
"IF ('发热', '呕吐', '稀便', '腹泻') THEN 小儿腹泻",1.0
